Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
272010,ELABORACIÓN DE ALUMINIO PRIMARIO Y SEMIELABORADOS DE ALUMINIO,242010,Elaboración de aluminio primario y semielaborados de aluminio
272090,PRODUCCIÓN DE METALES NO FERROSOS N.C.P. Y SUS SEMIELABORADOS,242090,"Fabricación de productos primarios de metales preciosos y metales no ferrosos n.c.p. y sussemielaborados"
273100,FUNDICIÓN DE HIERRO Y ACERO,243100,Fundición de hierro y acero
273200,FUNDICIÓN DE METALES NO FERROSOS,243200,Fundición de metales no ferrosos
281101,FABRICACIÓN DE PRODUCTOS METÁLICOS PARA USO ESTRUCTURAL Y MONTAJE ESTRUCTURAL,251102,Fabricación de productos metálicos para uso estructural
281101,FABRICACIÓN DE PRODUCTOS METÁLICOS PARA USO ESTRUCTURAL Y MONTAJE ESTRUCTURAL,331101,"Reparación y mantenimiento de productos de metal, excepto maquinaria y equipo"
281102,HERRERIA DE OBRA,251101,Fabricación de carpintería metálica
281102,HERRERIA DE OBRA,331101,"Reparación y mantenimiento de productos de metal, excepto maquinaria y equipo"
281200,"FABRICACIÓN DE TANQUES, DEPÓSITOS Y RECIPIENTES DE METAL",251200,"Fabricación de tanques, depósitos y recipientes de metal"
281200,"FABRICACIÓN DE TANQUES, DEPÓSITOS Y RECIPIENTES DE METAL",331101,"Reparación y mantenimiento de productos de metal, excepto maquinaria y equipo"
281300,FABRICACIÓN DE GENERADORES DE VAPOR,251300,Fabricación de generadores de vapor
281300,FABRICACIÓN DE GENERADORES DE VAPOR,331101,"Reparación y mantenimiento de productos de metal, excepto maquinaria y equipo"
281300,FABRICACIÓN DE GENERADORES DE VAPOR,332000,Instalación de maquinaria y equipos industriales
289100,"FORJADO, PRENSADO, ESTAMPADO Y LAMINADO DE METALES; PULVIMETALURGIA",259100,"Forjado, prensado, estampado y laminado de metales; pulvimetalurgia"
289200,"TRATAMIENTO Y REVESTIMIENTO DE METALES; OBRAS DE INGENIERÍA MECÁNICA EN GENERALREALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA",259200,Tratamiento y revestimiento de metales y trabajos de metales en general
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
289300,"FABRICACIÓN DE ARTÍCULOS DE CUCHILLERÍA, HERRAMIENTAS DE MANO Y ARTÍCULOS DEFERRETERÍA",259301,Fabricación de herramientas manuales y sus accesorios
289300,"FABRICACIÓN DE ARTÍCULOS DE CUCHILLERÍA, HERRAMIENTAS DE MANO Y ARTÍCULOS DEFERRETERÍA",259302,Fabricación de artículos de cuchillería y utensilios de mesa y de cocina
289300,"FABRICACIÓN DE ARTÍCULOS DE CUCHILLERÍA, HERRAMIENTAS DE MANO Y ARTÍCULOS DEFERRETERÍA",259309,"Fabricación de cerraduras, herrajes y artículos de ferretería n.c.p."
289300,"FABRICACIÓN DE ARTÍCULOS DE CUCHILLERÍA, HERRAMIENTAS DE MANO Y ARTÍCULOS DEFERRETERÍA",331101,"Reparación y mantenimiento de productos de metal, excepto maquinaria y equipo"
289910,FABRICACIÓN DE ENVASES METÁLICOS,259910,Fabricación de envases metálicos
289910,FABRICACIÓN DE ENVASES METÁLICOS,331101,"Reparación y mantenimiento de productos de metal, excepto maquinaria y equipo"
289990,FABRICACIÓN DE PRODUCTOS METÁLICOS N.C.P.,259991,Fabricación de tejidos de alambre
289990,FABRICACIÓN DE PRODUCTOS METÁLICOS N.C.P.,259992,Fabricación de cajas de seguridad
289990,FABRICACIÓN DE PRODUCTOS METÁLICOS N.C.P.,259993,Fabricación de productos metálicos de tornería y/o matricería
289990,FABRICACIÓN DE PRODUCTOS METÁLICOS N.C.P.,259999,Fabricación de productos elaborados de metal n.c.p.
289990,FABRICACIÓN DE PRODUCTOS METÁLICOS N.C.P.,331101,"Reparación y mantenimiento de productos de metal, excepto maquinaria y equipo"
291101,"FABRICACIÓN DE MOTORES Y TURBINAS, EXCEPTO MOTORES PARA AERONAVES, VEHÍCULOSAUTOMOTORES Y MOTOCICLETAS",281100,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores ymotocicletas"
291101,"FABRICACIÓN DE MOTORES Y TURBINAS, EXCEPTO MOTORES PARA AERONAVES, VEHÍCULOSAUTOMOTORES Y MOTOCICLETAS",332000,Instalación de maquinaria y equipos industriales
291102,"REPARACION DE MOTORES Y TURBINAS, EXCEPTO MOTORES PARA AERONAVES, VEHÍCULOSAUTOMOTORES Y MOTOCICLETAS",331210,Reparación y mantenimiento de maquinaria de uso general
291102,"REPARACION DE MOTORES Y TURBINAS, EXCEPTO MOTORES PARA AERONAVES, VEHÍCULOSAUTOMOTORES Y MOTOCICLETAS",332000,Instalación de maquinaria y equipos industriales
291201,FABRICACIÓN DE BOMBAS; COMPRESORES; GRIFOS Y VÁLVULAS,281201,Fabricación de bombas
291201,FABRICACIÓN DE BOMBAS; COMPRESORES; GRIFOS Y VÁLVULAS,281301,Fabricación de compresores; grifos y válvulas
291201,FABRICACIÓN DE BOMBAS; COMPRESORES; GRIFOS Y VÁLVULAS,332000,Instalación de maquinaria y equipos industriales
291202,REPARACIÓN DE BOMBAS; COMPRESORES; GRIFOS Y VÁLVULAS,331210,Reparación y mantenimiento de maquinaria de uso general
291202,REPARACIÓN DE BOMBAS; COMPRESORES; GRIFOS Y VÁLVULAS,332000,Instalación de maquinaria y equipos industriales
291301,FABRICACIÓN DE COJINETES; ENGRANAJES; TRENES DE ENGRANAJE Y PIEZAS DE TRANSMISIÓN,281400,Fabricación de cojinetes; engranajes; trenes de engranaje y piezas de transmisión
291302,REPARACIÓN DE COJINETES; ENGRANAJES; TRENES DE ENGRANAJE Y PIEZAS DE TRANSMISIÓN,331210,Reparación y mantenimiento de maquinaria de uso general
291401,FABRICACIÓN DE HORNOS; HOGARES Y QUEMADORES,281500,Fabricación de hornos; hogares y quemadores
291401,FABRICACIÓN DE HORNOS; HOGARES Y QUEMADORES,332000,Instalación de maquinaria y equipos industriales
291402,REPARACIÓN DE HORNOS; HOGARES Y QUEMADORES,331210,Reparación y mantenimiento de maquinaria de uso general
291402,REPARACIÓN DE HORNOS; HOGARES Y QUEMADORES,332000,Instalación de maquinaria y equipos industriales
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
291501,FABRICACIÓN DE EQUIPO DE ELEVACIÓN Y MANIPULACIÓN,281600,Fabricación de maquinaria y equipo de elevación y manipulación
291502,REPARACION DE EQUIPO DE ELEVACIÓN Y MANIPULACIÓN,331210,Reparación y mantenimiento de maquinaria de uso general
291901,FABRICACIÓN DE  MAQUINARIA DE USO GENERAL N.C.P.,281900,Fabricación de maquinaria y equipo de uso general n.c.p.
291902,REPARACIÓN DE  MAQUINARIA DE USO GENERAL N.C.P.,331210,Reparación y mantenimiento de maquinaria de uso general
291902,REPARACIÓN DE  MAQUINARIA DE USO GENERAL N.C.P.,331900,Reparación y mantenimiento de máquinas y equipo n.c.p.
292111,FABRICACIÓN DE TRACTORES,282110,Fabricación de tractores
292112,REPARACIÓN DE TRACTORES,331220,Reparación y mantenimiento de maquinaria y equipo de uso agropecuario y forestal
292191,"FABRICACIÓN DE MAQUINARIA AGROPECUARIA Y FORESTAL, EXCEPTO TRACTORES",282120,Fabricación de maquinaria y equipo de uso agropecuario y forestal
292191,"FABRICACIÓN DE MAQUINARIA AGROPECUARIA Y FORESTAL, EXCEPTO TRACTORES",282130,Fabricación de implementos de uso agropecuario
292191,"FABRICACIÓN DE MAQUINARIA AGROPECUARIA Y FORESTAL, EXCEPTO TRACTORES",332000,Instalación de maquinaria y equipos industriales
292192,"REPARACIÓN DE MAQUINARIA AGROPECUARIA Y FORESTAL, EXCEPTO TRACTORES",331220,Reparación y mantenimiento de maquinaria y equipo de uso agropecuario y forestal
292192,"REPARACIÓN DE MAQUINARIA AGROPECUARIA Y FORESTAL, EXCEPTO TRACTORES",332000,Instalación de maquinaria y equipos industriales
292201,FABRICACIÓN DE MÁQUINAS HERRAMIENTA,282200,Fabricación de máquinas herramienta
292201,FABRICACIÓN DE MÁQUINAS HERRAMIENTA,332000,Instalación de maquinaria y equipos industriales
292202,REPARACION DE MAQUINAS HERRAMIENTA,331290,Reparación y mantenimiento de maquinaria de uso especial n.c.p.
292202,REPARACION DE MAQUINAS HERRAMIENTA,331900,Reparación y mantenimiento de máquinas y equipo n.c.p.
292202,REPARACION DE MAQUINAS HERRAMIENTA,332000,Instalación de maquinaria y equipos industriales
292301,FABRICACIÓN DE MAQUINARIA METALÚRGICA,282300,Fabricación de maquinaria metalúrgica
292301,FABRICACIÓN DE MAQUINARIA METALÚRGICA,332000,Instalación de maquinaria y equipos industriales
292302,REPARACIÓN DE MAQUINARIA METALÚRGICA,331290,Reparación y mantenimiento de maquinaria de uso especial n.c.p.
292302,REPARACIÓN DE MAQUINARIA METALÚRGICA,332000,Instalación de maquinaria y equipos industriales
292401,"FABRICACIÓN DE MAQUINARIA PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS Y PARA OBRASDE CONSTRUCCIÓN",282400,Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción
292401,"FABRICACIÓN DE MAQUINARIA PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS Y PARA OBRASDE CONSTRUCCIÓN",332000,Instalación de maquinaria y equipos industriales
292402,"REPARACIÓN DE MAQUINARIA PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS Y PARA OBRAS DECONSTRUCCIÓN",331290,Reparación y mantenimiento de maquinaria de uso especial n.c.p.
292402,"REPARACIÓN DE MAQUINARIA PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS Y PARA OBRAS DECONSTRUCCIÓN",332000,Instalación de maquinaria y equipos industriales
292501,"FABRICACIÓN DE MAQUINARIA PARA LA ELABORACIÓN DE ALIMENTOS,BEBIDAS Y TABACO",282500,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco"
292501,"FABRICACIÓN DE MAQUINARIA PARA LA ELABORACIÓN DE ALIMENTOS,BEBIDAS Y TABACO",332000,Instalación de maquinaria y equipos industriales
292502,"REPARACION  DE MAQUINARIA PARA LA ELABORACIÓN DE ALIMENTOS,BEBIDAS Y TABACO",331290,Reparación y mantenimiento de maquinaria de uso especial n.c.p.
292502,"REPARACION  DE MAQUINARIA PARA LA ELABORACIÓN DE ALIMENTOS,BEBIDAS Y TABACO",332000,Instalación de maquinaria y equipos industriales
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
292601,"FABRICACIÓN DE MAQUINARIA PARA LA ELABORACIÓN DE PRODUCTOS TEXTILES, PRENDAS DEVESTIR Y CUEROS",282600,"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros"
292601,"FABRICACIÓN DE MAQUINARIA PARA LA ELABORACIÓN DE PRODUCTOS TEXTILES, PRENDAS DEVESTIR Y CUEROS",332000,Instalación de maquinaria y equipos industriales
292602,"REPARACIÓN DE MAQUINARIA PARA LA ELABORACIÓN DE PRODUCTOS TEXTILES, PRENDAS DEVESTIR Y CUEROS",331290,Reparación y mantenimiento de maquinaria de uso especial n.c.p.
292602,"REPARACIÓN DE MAQUINARIA PARA LA ELABORACIÓN DE PRODUCTOS TEXTILES, PRENDAS DEVESTIR Y CUEROS",332000,Instalación de maquinaria y equipos industriales
292700,FABRICACIÓN DE ARMAS Y MUNICIONES,252000,Fabricación de armas y municiones
292901,FABRICACIÓN DE MAQUINARIA DE USO ESPECIAL N.C.P.,282901,Fabricación de maquinaria para la industria del papel y las artes gráficas
292901,FABRICACIÓN DE MAQUINARIA DE USO ESPECIAL N.C.P.,282909,Fabricación de maquinaria y equipo de uso especial n.c.p.
292901,FABRICACIÓN DE MAQUINARIA DE USO ESPECIAL N.C.P.,332000,Instalación de maquinaria y equipos industriales
292902,REPARACIÓN DE MAQUINARIA DE USO ESPECIAL N.C.P.,331290,Reparación y mantenimiento de maquinaria de uso especial n.c.p.
292902,REPARACIÓN DE MAQUINARIA DE USO ESPECIAL N.C.P.,332000,Instalación de maquinaria y equipos industriales
293010,"FABRICACIÓN DE COCINAS, CALEFONES, ESTUFAS Y CALEFACTORES NO ELÉCTRICOS",275010,"Fabricación de cocinas, calefones, estufas y calefactores no eléctricos"
293020,"FABRICACIÓN DE HELADERAS, ""FREEZERS"", LAVARROPAS Y SECARROPAS",275020,"Fabricación de heladeras, ""freezers"", lavarropas y secarropas"
293090,FABRICACIÓN DE APARATOS DE USO DOMÉSTICO N.C.P.,275091,"Fabricación de ventiladores, extractores de aire, aspiradoras y similares"
293090,FABRICACIÓN DE APARATOS DE USO DOMÉSTICO N.C.P.,275092,"Fabricación de planchas, calefactores, hornos eléctricos, tostadoras y otros aparatosgeneradores de calor"
293090,FABRICACIÓN DE APARATOS DE USO DOMÉSTICO N.C.P.,275099,Fabricación de aparatos de uso doméstico n.c.p.
300000,"FABRICACIÓN DE MAQUINARIA DE OFICINA, CONTABILIDAD E INFORMÁTICA",262000,Fabricación de equipos y productos informáticos
300000,"FABRICACIÓN DE MAQUINARIA DE OFICINA, CONTABILIDAD E INFORMÁTICA",281700,"Fabricación de maquinaria y equipo de oficina, excepto equipo informático"
300000,"FABRICACIÓN DE MAQUINARIA DE OFICINA, CONTABILIDAD E INFORMÁTICA",332000,Instalación de maquinaria y equipos industriales
311001,"FABRICACIÓN DE MOTORES, GENERADORES Y TRANSFORMADORES ELÉCTRICOS",271010,"Fabricación de motores, generadores y transformadores eléctricos"
311001,"FABRICACIÓN DE MOTORES, GENERADORES Y TRANSFORMADORES ELÉCTRICOS",332000,Instalación de maquinaria y equipos industriales
311002,"REPARACION DE MOTORES, GENERADORES Y TRANSFORMADORES ELÉCTRICOS",293011,Rectificación de motores
311002,"REPARACION DE MOTORES, GENERADORES Y TRANSFORMADORES ELÉCTRICOS",331400,Reparación y mantenimiento de maquinaria y aparatos eléctricos
311002,"REPARACION DE MOTORES, GENERADORES Y TRANSFORMADORES ELÉCTRICOS",332000,Instalación de maquinaria y equipos industriales
312001,FABRICACIÓN DE APARATOS DE DISTRIBUCIÓN Y CONTROL DE LA ENERGÍA ELECTRICA,271020,Fabricación de aparatos de distribución y control de la energía eléctrica
312002,REPARACIÓN DE APARATOS DE DISTRIBUCIÓN Y CONTROL DE LA ENERGÍA ELECTRICA,331400,Reparación y mantenimiento de maquinaria y aparatos eléctricos
313000,FABRICACIÓN DE HILOS Y CABLES AISLADOS,273110,Fabricación de cables de fibra óptica
313000,FABRICACIÓN DE HILOS Y CABLES AISLADOS,273190,Fabricación de hilos y cables aislados n.c.p.
313000,FABRICACIÓN DE HILOS Y CABLES AISLADOS,331400,Reparación y mantenimiento de maquinaria y aparatos eléctricos
314000,"FABRICACIÓN DE ACUMULADORES, PILAS Y BATERÍAS PRIMARIAS",272000,"Fabricación de acumuladores, pilas y baterías primarias"
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
314000,"FABRICACIÓN DE ACUMULADORES, PILAS Y BATERÍAS PRIMARIAS",331400,Reparación y mantenimiento de maquinaria y aparatos eléctricos
315000,FABRICACIÓN DE LAMPARAS ELÉCTRICAS Y EQUIPO DE ILUMINACIÓN,274000,Fabricación de lámparas eléctricas y equipo de iluminación
315000,FABRICACIÓN DE LAMPARAS ELÉCTRICAS Y EQUIPO DE ILUMINACIÓN,329030,"Fabricación de carteles, señales e indicadores -eléctricos o no-"
315000,FABRICACIÓN DE LAMPARAS ELÉCTRICAS Y EQUIPO DE ILUMINACIÓN,331400,Reparación y mantenimiento de maquinaria y aparatos eléctricos
319001,FABRICACIÓN  DE EQUIPO ELÉCTRICO N.C.P.,279000,Fabricación de equipo eléctrico n.c.p.
319002,REPARACIÓN  DE EQUIPO ELÉCTRICO N.C.P.,331301,"Reparación y mantenimiento de instrumentos médicos, ópticos y de precisión; equipofotográfico, aparatos para medir, ensayar o navegar; relojes, excepto para uso personal odoméstico"
319002,REPARACIÓN  DE EQUIPO ELÉCTRICO N.C.P.,331400,Reparación y mantenimiento de maquinaria y aparatos eléctricos
321000,"FABRICACIÓN DE TUBOS, VÁLVULAS  Y OTROS  COMPONENTES ELECTRÓNICOS",261000,Fabricación de componentes electrónicos
322001,"FABRICACIÓN DE TRANSMISORES DE RADIO Y TELEVISIÓN Y DE APARATOS PARA TELEFONÍA YTELEGRAFÍA CON HILOS",263000,Fabricación de equipos de comunicaciones y transmisores de radio y televisión
322001,"FABRICACIÓN DE TRANSMISORES DE RADIO Y TELEVISIÓN Y DE APARATOS PARA TELEFONÍA YTELEGRAFÍA CON HILOS",332000,Instalación de maquinaria y equipos industriales
322002,"REPARACIÓN DE TRANSMISORES DE RADIO Y TELEVISIÓN Y DE APARATOS PARA TELEFONÍA YTELEGRAFÍA CON HILOS",332000,Instalación de maquinaria y equipos industriales
322002,"REPARACIÓN DE TRANSMISORES DE RADIO Y TELEVISIÓN Y DE APARATOS PARA TELEFONÍA YTELEGRAFÍA CON HILOS",951200,Reparación y mantenimiento de equipos de comunicación
323000,"FABRICACIÓN DE RECEPTORES DE RADIO Y TELEVISIÓN, APARATOS DE GRABACIÓN YREPRODUCCIÓN DE SONIDO Y VIDEO, Y PRODUCTOS CONEXOS",264000,"Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción de sonidoy video, y productos conexos"
331100,FABRICACIÓN DE EQUIPO MEDICO Y QUIRÚRGICO Y DE APARATOS ORTOPÉDICOS,266010,"Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos principalmenteelectrónicos y/o eléctricos"
331100,FABRICACIÓN DE EQUIPO MEDICO Y QUIRÚRGICO Y DE APARATOS ORTOPÉDICOS,266090,Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos n.c.p.
331100,FABRICACIÓN DE EQUIPO MEDICO Y QUIRÚRGICO Y DE APARATOS ORTOPÉDICOS,331301,"Reparación y mantenimiento de instrumentos médicos, ópticos y de precisión; equipofotográfico, aparatos para medir, ensayar o navegar; relojes, excepto para uso personal odoméstico"
331100,FABRICACIÓN DE EQUIPO MEDICO Y QUIRÚRGICO Y DE APARATOS ORTOPÉDICOS,332000,Instalación de maquinaria y equipos industriales
331200,"FABRICACIÓN DE INSTRUMENTOS Y APARATOS PARA MEDIR, VERIFICAR,ENSAYAR, NAVEGAR YOTROS FINES, EXCEPTO EL EQUIPO DE CONTROL  DE PROCESOS INDUSTRIALES",265101,"Fabricación de instrumentos y aparatos para medir, verificar, ensayar, navegar y otros fines,excepto el equipo de control de procesos industriales"
331300,FABRICACIÓN DE EQUIPO DE CONTROL DE PROCESOS INDUSTRIALES,265102,Fabricación de equipo de control de procesos industriales
331300,FABRICACIÓN DE EQUIPO DE CONTROL DE PROCESOS INDUSTRIALES,332000,Instalación de maquinaria y equipos industriales
332000,FABRICACIÓN DE INSTRUMENTOS DE ÓPTICA Y EQUIPO FOTOGRÁFICO,267001,Fabricación de equipamiento e instrumentos ópticos y sus accesorios
332000,FABRICACIÓN DE INSTRUMENTOS DE ÓPTICA Y EQUIPO FOTOGRÁFICO,267002,"Fabricación de aparatos y accesorios para fotografía excepto películas, placas y papeles sensibles"
333000,FABRICACIÓN DE RELOJES,265200,Fabricación de relojes
341000,FABRICACIÓN DE VEHÍCULOS AUTOMOTORES,291000,Fabricación de vehículos automotores
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
342000,"FABRICACIÓN DE CARROCERÍAS PARA VEHÍCULOS AUTOMOTORES; FABRICACIÓN DEREMOLQUES Y SEMIRREMOLQUES",292000,"Fabricación de carrocerías para vehículos automotores; fabricación de remolques ysemirremolques"
343000,"FABRICACIÓN DE PARTES; PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES Y SUSMOTORES",293011,Rectificación de motores
343000,"FABRICACIÓN DE PARTES; PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES Y SUSMOTORES",293090,"Fabricación de partes, piezas y accesorios para vehículos automotores y sus motores n.c.p."
351101,CONSTRUCCIÓN DE BUQUES,301100,Construcción y reparación de buques
351102,REPARACIÓN DE BUQUES,301100,Construcción y reparación de buques
351201,CONSTRUCCIÓN DE EMBARCACIONES DE RECREO Y DEPORTE,301200,Construcción y reparación de embarcaciones de recreo y deporte
351202,REPARACIÓN DE EMBARCACIONES DE RECREO Y DEPORTE,301200,Construcción y reparación de embarcaciones de recreo y deporte
352001,FABRICACIÓN DE LOCOMOTORAS Y DE MATERIAL RODANTE PARA FERROCARRILES Y TRANVÍAS,302000,Fabricación y reparación de locomotoras y de material rodante para transporte ferroviario
352002,REPARACIÓN DE LOCOMOTORAS Y DE MATERIAL RODANTE PARA FERROCARRILES Y TRANVÍAS,302000,Fabricación y reparación de locomotoras y de material rodante para transporte ferroviario
353001,FABRICACIÓN DE AERONAVES,303000,Fabricación y reparación de aeronaves
353002,REPARACIÓN DE AERONAVES,303000,Fabricación y reparación de aeronaves
359100,FABRICACIÓN DE MOTOCICLETAS,309100,Fabricación de motocicletas
359200,FABRICACIÓN DE BICICLETAS Y DE SILLONES DE RUEDAS ORTOPÉDICOS,309200,Fabricación de bicicletas y de sillones de ruedas ortopédicos
359900,FABRICACIÓN DE EQUIPO DE TRANSPORTE N.C.P.,309900,Fabricación de equipo de transporte n.c.p.
361010,"FABRICACIÓN DE MUEBLES Y PARTES DE MUEBLES, PRINCIPALMENTE DE MADERA",310010,"Fabricación de muebles y partes de muebles, principalmente de madera"
361020,"FABRICACIÓN DE MUEBLES Y PARTES DE MUEBLES, EXCEPTO LOS QUE SON PRINCIPALMENTEDE MADERA",310020,"Fabricación de muebles y partes de muebles, excepto los que son principalmente de madera(metal, plástico, etc.)"
361030,FABRICACIÓN DE SOMIERES Y COLCHONES,310030,Fabricación de somieres y colchones
369100,FABRICACIÓN DE JOYAS Y ARTÍCULOS CONEXOS,321011,Fabricación de joyas finas y artículos conexos
369100,FABRICACIÓN DE JOYAS Y ARTÍCULOS CONEXOS,321012,Fabricación de objetos de platería
369100,FABRICACIÓN DE JOYAS Y ARTÍCULOS CONEXOS,321020,Fabricación de bijouterie
369200,FABRICACIÓN DE INSTRUMENTOS DE MÚSICA,322001,Fabricación de instrumentos de música
369300,FABRICACIÓN DE ARTÍCULOS DE DEPORTE,323001,Fabricación de artículos de deporte
369400,FABRICACIÓN DE JUEGOS Y JUGUETES,324000,Fabricación de juegos y juguetes
369910,"FABRICACIÓN DE LÁPICES, LAPICERAS,  BOLÍGRAFOS, SELLOS Y ARTÍCULOS SIMILARES PARAOFICINAS Y ARTISTAS",329010,"Fabricación de lápices, lapiceras, bolígrafos, sellos y artículos similares para oficinas y artistas"
369921,FABRICACIÓN DE CEPILLOS Y PINCELES,329020,"Fabricación de escobas, cepillos y pinceles"
369922,FABRICACION DE ESCOBAS,329020,"Fabricación de escobas, cepillos y pinceles"
369990,INDUSTRIAS MANUFACTURERAS N.C.P.,329040,"Fabricación de equipo de protección y seguridad, excepto calzado"
369990,INDUSTRIAS MANUFACTURERAS N.C.P.,329091,Elaboración de sustrato
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
369990,INDUSTRIAS MANUFACTURERAS N.C.P.,329099,Industrias manufactureras n.c.p.
369990,INDUSTRIAS MANUFACTURERAS N.C.P.,329030,"Fabricación de carteles, señales e indicadores  -eléctricos o no-"
371000,RECICLAMIENTO DE DESPERDICIOS Y DESECHOS METÁLICOS,382010,Recuperación de materiales y desechos metálicos
372000,RECICLAMIENTO DE DESPERDICIOS Y DESECHOS NO METÁLICOS,382020,Recuperación de materiales y desechos no metálicos
401110,GENERACIÓN DE ENERGÍA TÉRMICA CONVENCIONAL,351110,Generación de energía térmica convencional
401120,GENERACIÓN DE ENERGÍA TÉRMICA NUCLEAR,351120,Generación de energía térmica nuclear
401130,GENERACIÓN DE ENERGÍA HIDRÁULICA,351130,Generación de energía hidráulica
401190,GENERACIÓN DE ENERGÍA N.C.P.,351191,Generación de energías a partir de biomasa
401190,GENERACIÓN DE ENERGÍA N.C.P.,351199,Generación de energías n.c.p.
401200,TRANSPORTE DE ENERGÍA ELÉCTRICA,351201,Transporte de energía eléctrica
401300,DISTRIBUCIÓN Y ADMINISTRACIÓN DE ENERGÍA ELÉCTRICA,351320,Distribución de energía eléctrica
402001,FABRICACIÓN DE GAS,352010,Fabricación de gas y procesamiento de gas natural
402002,DISTRIBUCION DE GAS NATURAL -LEY 11.244-,352022,Distribución de gas natural -Ley 23966-
402003,DISTRIBUCION DE COMBUSTIBLES GASEOSOS POR TUBERIAS,352021,Distribución de combustibles gaseosos por tuberías
403000,SUMINISTRO DE VAPOR Y AGUA CALIENTE,353001,Suministro de vapor y aire acondicionado
410010,"CAPTACIÓN, DEPURACIÓN Y DISTRIBUCIÓN DE AGUA DE FUENTES SUBTERRÁNEAS",360010,"Captación, depuración y distribución de agua de fuentes subterráneas"
410020,"CAPTACIÓN, DEPURACIÓN Y DISTRIBUCIÓN DE AGUA DE FUENTES SUPERFICIALES",360020,"Captación, depuración y distribución de agua de fuentes superficiales"
451100,DEMOLICIÓN Y VOLADURA DE EDIFICIOS Y DE SUS PARTES,431100,Demolición y voladura de edificios y de sus partes
451200,"PERFORACIÓN Y SONDEO, EXCEPTO : PERFORACIÓN DE POZOS DE PETRÓLEO, DE GAS, DEMINAS E HIDRÁULICAS Y PROSPECCIÓN DE YACIMIENTOS DE PETRÓLEO",431220,"Perforación y sondeo, excepto perforación de pozos de petróleo, de gas, de minas e hidráulicosy prospección de yacimientos de petróleo"
451900,MOVIMIENTO DE SUELOS Y PREPARACIÓN DE TERRENOS PARA OBRAS N.C.P.,431210,Movimiento de suelos y preparación de terrenos para obras
452100,"CONSTRUCCIÓN, REFORMA Y REPARACIÓN DE EDIFICIOS RESIDENCIALES",410011,"Construcción, reforma y reparación de edificios residenciales"
452200,"CONSTRUCCIÓN, REFORMA Y REPARACIÓN DE EDIFICIOS NO RESIDENCIALES",410021,"Construcción, reforma y reparación de edificios no residenciales"
452310,"CONSTRUCCIÓN, REFORMA Y REPARACIÓN DE OBRAS HIDRÁULICAS",429010,"Construcción, reforma y reparación de obras hidráulicas"
452390,"CONSTRUCCIÓN, REFORMA Y REPARACIÓN DE OBRAS DE INFRAESTRUCTURA DE TRANSPORTEN.C.P. EXCEPTO LOS EDIFICIOS PARA TRÁFICO Y  COMUNICACIONES, ESTACIONES, TERMINALESY EDIFICIOS  ASOCIADOS",421000,"Construcción, reforma y reparación de obras de infraestructura para el transporte"
452400,"CONSTRUCCIÓN, REFORMA Y REPARACIÓN DE REDES DE ELECTRICIDAD,DE GAS, DE AGUA, DETELECOMUNICACIONES Y DE OTROS SERVICIOS",422200,"Construcción, reforma y reparación de redes distribución de electricidad, gas, agua,telecomunicaciones y de otros servicios públicos"
452510,PERFORACIÓN DE POZOS DE AGUA,422100,Perforación de pozos de agua
452520,"ACTIVIDADES DE HINCADO DE PILOTES, CIMENTACIÓN Y OTROS TRABAJOS DE HORMIGÓNARMADO",439910,"Hincado de pilotes, cimentación y otros trabajos de hormigón armado"
